dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.809452,4.169951,0.000079,0.007937,0.396825,19.841270,6.282815
0.020000,1.809452,4.169951,0.000397,0.023810,0.793651,19.841270,6.282874
0.020000,1.809452,4.169951,0.001111,0.047619,1.190476,19.841270,6.283007
0.020000,1.809690,4.169951,0.002302,0.071429,1.190476,0.000000,0.000045
0.020000,1.811357,4.169952,0.003968,0.095238,1.190476,0.000000,0.000357
0.020000,1.813500,4.169953,0.006111,0.119048,1.190476,0.000000,0.000762
0.020000,1.816119,4.169956,0.008730,0.142857,1.190476,-0.000000,0.001259
0.020000,1.819214,4.169960,0.011825,0.166667,1.190476,0.000000,0.001850
0.020000,1.822786,4.169968,0.015397,0.190476,1.190476,0.000000,0.002539
0.020000,1.826833,4.169980,0.019444,0.214286,1.190476,0.000000,0.003328
0.020000,1.831357,4.169997,0.023968,0.238095,1.190476,-0.000000,0.004219
0.020000,1.836357,4.170021,0.028968,0.261905,1.190476,0.000000,0.005216
0.020000,1.841833,4.170052,0.034444,0.285714,1.190476,-0.000000,0.006322
0.020000,1.847785,4.170094,0.040397,0.309524,1.190476,0.000000,0.007542
0.020000,1.854214,4.170146,0.046825,0.333333,1.190476,-0.000000,0.008881
0.020000,1.861118,4.170213,0.053730,0.357143,1.190476,0.000000,0.010342
0.020000,1.868498,4.170295,0.061111,0.380952,1.190476,-0.000000,0.011933
0.020000,1.876355,4.170395,0.068968,0.404762,1.190476,0.000000,0.013658
0.020000,1.884687,4.170517,0.077302,0.428571,1.190476,0.000000,0.015524
0.020000,1.893496,4.170662,0.086111,0.452381,1.190476,-0.000000,0.017538
0.020000,1.902780,4.170835,0.095397,0.476190,1.190476,0.000000,0.019707
0.020000,1.912540,4.171039,0.105159,0.500000,1.190476,-0.000000,0.022040
0.020000,1.922775,4.171277,0.115397,0.523810,1.190476,0.000000,0.024545
0.020000,1.933486,4.171555,0.126111,0.547619,1.190476,-0.000000,0.027232
0.020000,1.944672,4.171875,0.137302,0.571429,1.190476,0.000000,0.030111
0.020000,1.956332,4.172245,0.148968,0.595238,1.190476,0.000000,0.033191
0.020000,1.968468,4.172667,0.161111,0.619048,1.190476,0.000000,0.036486
0.020000,1.981078,4.173150,0.173730,0.642857,1.190476,0.000000,0.040008
0.020000,1.994161,4.173698,0.186825,0.666667,1.190476,-0.000000,0.043769
0.020000,2.007719,4.174319,0.200397,0.690476,1.190476,0.000000,0.047785
0.020000,2.021749,4.175020,0.214444,0.714286,1.190476,-0.000000,0.052071
0.020000,2.036251,4.175809,0.228968,0.738095,1.190476,0.000000,0.056643
0.020000,2.051225,4.176694,0.243968,0.761905,1.190476,-0.000000,0.061520
0.020000,2.066669,4.177686,0.259444,0.785714,1.190476,0.000000,0.066721
0.020000,2.082583,4.178793,0.275397,0.809524,1.190476,-0.000000,0.072267
0.020000,2.098965,4.180028,0.291825,0.833333,1.190476,0.000000,0.078179
0.020000,2.115814,4.181401,0.308730,0.857143,1.190476,-0.000000,0.084483
0.020000,2.133128,4.182925,0.326111,0.880952,1.190476,-0.000000,0.091205
0.020000,2.150905,4.184615,0.343968,0.904762,1.190476,0.000000,0.098373
0.020000,2.169143,4.186485,0.362302,0.928571,1.190476,-0.000000,0.106017
0.020000,2.187838,4.188551,0.381111,0.952381,1.190476,0.000000,0.114171
0.020000,2.206989,4.190831,0.400397,0.976190,1.190476,-0.000000,0.122869
0.020000,2.226590,4.193343,0.420159,1.000000,1.190476,0.000000,0.132152
0.020000,2.246638,4.196109,0.440397,1.023810,1.190476,0.000000,0.142060
0.020000,2.267128,4.199149,0.461111,1.047619,1.190476,-0.000000,0.152639
0.020000,2.288054,4.202488,0.482302,1.071429,1.190476,0.000000,0.163938
0.020000,2.309408,4.206152,0.503968,1.095238,1.190476,0.000000,0.176010
0.020000,2.331184,4.210169,0.526111,1.119048,1.190476,0.000000,0.188912
0.020000,2.353371,4.214569,0.548730,1.142857,1.190476,-0.000000,0.202705
0.020000,2.375958,4.219384,0.571825,1.166667,1.190476,0.000000,0.217455
0.020000,2.398934,4.224649,0.595397,1.190476,1.190476,-0.000000,0.233234
0.020000,2.422283,4.230403,0.619444,1.214286,1.190476,0.000000,0.250116
0.020000,2.445988,4.236685,0.643968,1.238095,1.190476,0.000000,0.268183
0.020000,2.470029,4.243540,0.668968,1.261905,1.190476,-0.000000,0.287518
0.020000,2.494384,4.251015,0.694444,1.285714,1.190476,0.000000,0.308209
0.020000,2.519025,4.259159,0.720397,1.309524,1.190476,-0.000000,0.330348
0.020000,2.543921,4.268024,0.746825,1.333333,1.190476,0.000000,0.354027
0.020000,2.569038,4.277667,0.773730,1.357143,1.190476,0.000000,0.379338
0.020000,2.594333,4.288146,0.801111,1.380952,1.190476,0.000000,0.406368
0.020000,2.619761,4.299522,0.828968,1.404762,1.190476,-0.000000,0.435199
0.020000,2.645267,4.311856,0.857302,1.428571,1.190476,0.000000,0.465901
0.020000,2.670792,4.325213,0.886111,1.452381,1.190476,0.000000,0.498529
0.020000,2.696267,4.339655,0.915397,1.476190,1.190476,0.000000,0.533113
0.020000,2.721619,4.355242,0.945159,1.500000,1.190476,-0.000000,0.569654
0.020000,2.746764,4.372034,0.975397,1.523810,1.190476,0.000000,0.608117
0.020000,2.771613,4.390082,1.006111,1.547619,1.190476,0.000000,0.648423
0.020000,2.796072,4.409434,1.037302,1.571429,1.190476,-0.000000,0.690443
0.020000,2.820040,4.430125,1.068968,1.595238,1.190476,0.000000,0.733998
0.020000,2.843416,4.452183,1.101111,1.619048,1.190476,0.000000,0.778855
0.020000,2.866099,4.475621,1.133730,1.642857,1.190476,0.000000,0.824733
0.020000,2.887988,4.500439,1.166825,1.666667,1.190476,-0.000000,0.871310
0.020000,2.908990,4.526625,1.200397,1.690476,1.190476,0.000000,0.918237
0.020000,2.929021,4.554154,1.234444,1.714286,1.190476,0.000000,0.965153
0.020000,2.948004,4.582986,1.268968,1.738095,1.190476,-0.000000,1.011702
